Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,111.728554,112.290009,103.166443,104.233200,53.833576,10563449
1996-01-08,103.587532,103.868256,98.253754,101.257515,52.296726,16895178
1996-01-15,100.639915,101.818962,93.200706,93.958664,48.527084,11033927
1996-01-22,94.885056,103.250664,87.445847,88.007294,45.453354,6867038
1996-01-29,87.052826,104.008621,87.052826,102.829575,53.108654,15734790
1996-02-05,107.236954,125.203362,96.007957,123.210213,63.634697,38848868
1996-02-12,120.655617,124.641907,113.581345,115.490273,59.647564,31522037
1996-02-19,116.781609,118.437881,110.184570,115.742928,59.778049,12195205
1996-02-26,116.248230,120.094162,107.096596,109.595047,56.602837,26731138
1996-03-04,109.482758,113.076035,107.798409,109.707336,56.660828,11844507
1996-03-11,108.079132,111.953140,98.281830,106.900085,55.210964,15640747
1996-03-18,105.833328,106.647430,96.007957,102.492706,52.934666,11948077
1996-03-25,103.868256,113.244469,103.671745,110.774094,57.211784,24730693
1996-04-01,111.728554,117.034264,110.689873,113.609413,58.676147,15154953
1996-04-08,117.764145,123.771660,116.248230,121.582008,62.793770,37310263
1996-04-15,122.957558,135.309464,119.308136,132.053055,68.201782,47012551
1996-04-22,133.344391,145.134827,125.820953,137.218384,70.869537,55503778
1996-04-29,136.151627,140.306366,133.091736,133.793549,69.100693,38872024
1996-05-06,130.537140,131.379303,120.739830,123.238281,63.649189,38191999
1996-05-13,124.641907,140.306366,123.575150,136.123566,70.304100,58928839
1996-05-20,133.625107,134.551498,130.284485,132.277634,68.317764,40716711
1996-05-27,131.519669,137.274536,125.399864,136.039337,70.260582,88157352
1996-06-03,138.088638,145.920868,137.246460,142.860962,73.783760,134524344
1996-06-10,143.197830,149.317642,138.453583,148.531601,76.712509,111587219
1996-06-17,149.345703,150.131744,140.923965,144.461090,74.610176,90704328
1996-06-24,143.225906,145.977005,136.151627,136.628860,70.565056,63676989
1996-07-01,136.179703,136.235855,126.606979,129.723038,66.998375,60161183
1996-07-08,131.940765,132.053055,121.834656,124.754196,64.432098,57879325
1996-07-15,123.547081,132.895218,122.424179,129.189651,66.722916,85561840
1996-07-22,126.606979,128.993149,102.773430,105.019226,54.239548,93294497
1996-07-29,105.552605,113.412910,99.938103,105.973694,54.732506,72368770
1996-08-05,107.798409,111.981209,103.503311,107.321175,55.428444,55943533
1996-08-12,107.798409,108.163345,104.148979,105.103447,54.283035,33696051
1996-08-19,104.710434,108.724800,101.201370,106.703583,55.109470,46213460
1996-08-26,106.282494,111.896996,104.906937,109.875771,56.747826,43224592
1996-09-02,110.100349,112.851456,107.236954,109.145889,56.370857,38442243
1996-09-09,108.809013,108.949379,100.303047,100.780281,52.050266,41773350
1996-09-16,99.994247,103.812111,96.260612,98.085320,50.658386,44665503
1996-09-23,97.748451,99.629311,94.351677,94.632401,48.875038,44207225
1996-09-30,94.211319,99.938103,93.818298,95.755302,49.454998,39506542
1996-10-07,96.007957,99.881958,88.709106,97.973030,50.600384,63922070
1996-10-14,97.664230,98.787132,94.323608,96.288681,49.730457,45394064
1996-10-21,96.288681,110.044205,96.288681,107.994911,55.776402,65593902
1996-10-28,108.387932,109.763481,99.095932,100.724136,52.021252,58317565
1996-11-04,99.685455,99.685455,90.730324,93.256851,48.164608,59513396
1996-11-11,93.088417,95.446503,92.246239,93.986732,48.541569,19988242
1996-11-18,94.716621,96.148315,87.024757,87.445847,45.163383,45611268
1996-11-25,87.052826,91.235634,84.498230,86.463303,44.655918,47543141
1996-12-02,85.901855,87.024757,81.971703,85.424622,44.119465,25949680
1996-12-09,85.901855,90.393456,83.178825,86.463303,44.655918,28642617
1996-12-16,86.968613,93.621796,86.968613,92.218170,47.628143,38370198
1996-12-23,92.639259,94.604332,89.719719,94.155174,48.628567,15780566
1996-12-30,94.155174,104.205124,93.200706,102.043541,52.702698,53392194
1997-01-06,102.604996,108.640579,100.527626,105.524536,54.500549,63218980
1997-01-13,104.457779,122.255745,102.352341,109.033600,56.312866,80841473
1997-01-20,108.387932,109.482758,101.734749,107.545753,55.544430,40110334
1997-01-27,109.510826,121.834656,102.745354,103.306808,53.355141,79080677
1997-02-03,99.881958,107.461540,98.281830,105.496460,54.486019,54070259
1997-02-10,106.956230,112.009285,106.057915,110.324928,56.979797,44179887
1997-02-17,112.261932,112.683022,105.636826,106.029839,54.761494,31185854
1997-02-24,104.429710,117.904510,100.218834,116.893898,60.372494,46606459
1997-03-03,114.928825,123.519005,112.570732,116.557030,60.198509,57315517
